molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D
Ag,silver,7440-22-4,1235.08,3000.0,33.4,0.0,0.0,0.0
AgBr,silver bromide,7785-23-1,703.0,1833.0,62.3416,0.0,0.0,0.0
AgCl,silver (I) chloride,7783-90-6,728.15,2393.68,61.723,0.016805,-1.7007e-05,5.3955e-09
AgI,silver (I) iodide,7783-96-2,825.15,2318.11,54.778,0.013951,-1.5305e-05,5.1269e-09
AgNO3,silver (I) nitrate,7761-88-8,483.0,600.0,128.0304,0.0,0.0,0.0
Ag2O4S,silver (I) sulfate,10294-26-5,933.0,1200.0,205.016,0.0,0.0,0.0
Al,aluminum,7429-90-5,933.61,3000.0,31.75,0.0,0.0,0.0
AlB3H12,aluminum borohydride,16962-07-5,298.15,303.15,215.16,0.0,0.0,0.0
AlBr3,aluminum bromide,7727-15-3,370.65,1500.0,124.965,0.0,0.0,0.0
C2H6AlCl,"aluminum, dimethyl chloride",1184-58-3,309.5,459.5,101.31,0.14461,0.0,0.0
C3H9Al,"aluminum, trimethyl",75-24-1,286.03,400.27,117.21,0.027696,0.00033913,0.0
C6H15Al,"aluminum, triethyl",97-93-8,330.15,499.08,56.689,0.59668,0.0,0.0
AlCl3,aluminum chloride,7446-70-0,465.7,629.0,125.52,0.0,0.0,0.0
AlF3,aluminum fluoride,7784-18-1,1850.0,4000.0,125.52,0.0,0.0,0.0
AlH3O3,aluminum hydroxide,21645-51-2,573.15,1373.1,16.564,0.22576,-0.00027049,1.0869e-07
AlI3,aluminum iodide,7784-23-8,461.43,2000.0,121.336,0.0,0.0,0.0
Al2O3,aluminum oxide,1344-28-1,2327.0,4000.0,192.46,0.0,0.0,0.0
Al2O3,aluminum oxide (α),1302-74-5,2327.0,4000.0,192.46,0.0,0.0,0.0
Ar,argon,7440-37-1,83.8,134.0,-209.08104271002,7.877659072357,-0.083060271346864,0.00029708398278648
As,arsenic,7440-38-2,1100.0,1200.0,23.208,0.00552,0.0,0.0
AsBr3,arsenic (III) bromide,7784-33-0,306.15,749.56,178.296,-0.20895,8.1465e-05,3.0548e-07
AsCl3,arsenic trichloride,7784-34-1,255.15,621.3,167.404,-0.28114,0.00024063,3.8305e-07
AsF3,arsenic trifluoride,7784-35-2,267.25,503.7,297.644,-1.3133,0.002696,-1.1127e-06
AsF5,arsenic pentafluoride,7784-36-3,193.35,339.85,339.768,-2.29,0.0069853,-4.5162e-06
AsH3,arsine,7784-42-1,156.23,354.35,124.87,-0.78635,0.0027795,-2.3029e-06
As2H4,diarsine,15942-63-9,298.15,303.15,89.18,0.0,0.0,0.0
As2O3,arsenic trioxide,1327-53-3,551.0,732.0,152.72,0.0,0.0,0.0
Au,gold,7440-57-5,1336.15,1600.0,-502.61661963683,1.1594030860096,-0.00082731271558501,1.9444673679667e-07
B,boron,7440-42-8,2350.0,4000.0,31.75,0.0,0.0,0.0
BBr3,boron tribromide,10294-33-4,298.15,1000.0,128.03,0.0,0.0,0.0
BCl3,boron trichloride,10294-34-5,166.15,429.35,91.71,-0.025307,0.00022522,4.2585e-07
BF3,boron trifluoride,7637-07-02 00:00:00,146.05,247.86,229.392,-1.6881,0.005851,-1.3713e-06
CH2BO,borine carbonyl,13205-44-2,136.15,323.03,98.959,-0.37101,0.00078022,1.1523e-06
BH3O3,boric acid,10043-35-3,444.1,800.0,180.0,0.0,0.0,0.0
B2Cl4,"diborane, tetrachloro",13701-67-2,298.15,303.15,180.02,0.0,0.0,0.0
B2D6,"diborane, deutero",20396-66-1,170.0,279.05,164.803,-1.1667,0.0039201,-1.5502e-06
B2H6,diborane,19287-45-7,108.3,275.31,113.027,-0.51807,0.0015363,1.5122e-06
B2O3,boron oxide,1303-86-2,723.15,3000.0,129.704,0.0,0.0,0.0
B3H6N3,borazine,6569-51-3,214.95,495.14,206.875,-0.53952,0.00077322,5.7364e-07
CB4,boron carbide,12069-32-8,2743.0,4500.0,135.98,0.0,0.0,0.0
B4H10,tetraborane,18283-93-7,153.25,443.33,110.148,-0.046499,-0.00044712,1.687e-06
B5H9,pentaborane,19624-22-7,298.15,1500.0,3.3557433512833,0.63053684209693,-0.00049239586168092,1.3381027623271e-07
B5H11,pentaborane,18433-84-6,230.0,519.77,228.068,-0.61121,0.00090301,4.0052e-07
B6H10,hexaborane,23777-80-2,298.15,303.15,249.14,0.0,0.0,0.0
B6H12,hexaborane,12008-19-4,298.15,303.15,267.54,0.0,0.0,0.0
B9H15,nonaborane,19465-30-6,298.15,303.15,373.71,0.0,0.0,0.0
B10H14,decaborane,17702-41-9,371.93,1500.0,83.895176590635,0.67076635817185,-0.00027230041419997,1.971887943749e-08
Ba,barium,7440-39-3,1000.0,3000.0,40.0,0.0,0.0,0.0
BaBr2,barium bromide,10553-31-8,1130.15,3000.0,104.851,0.0,0.0,0.0
BaCl2,barium chloride,10361-37-2,1235.15,3000.0,108.784,0.0,0.0,0.0
BaF2,barium fluoride,7787-32-8,1641.15,3500.0,99.826,0.0,0.0,0.0
BaH2O2,barium hydroxide,17194-00-2,681.5,2000.0,141.001,0.0,0.0,0.0
BaI2,barium iodide,13718-50-8,984.15,2800.0,112.968,0.0,0.0,0.0
BaO,barium oxide,1304-28-5,2286.0,5000.0,66.944,0.0,0.0,0.0
Be,beryllium,7440-41-7,1563.0,3000.0,29.48,0.0,0.0,0.0
Al2BeO4,beryllium aluminate,12004-06-7,2146.0,4000.0,246.09,0.0,0.0,0.0
BeBr2,beryllium bromide,7787-46-4,763.15,973.49,1915.718,-6.2339,0.0070923,-2.6455e-06
BeCl2,beryllium chloride,7787-47-5,688.15,2000.0,121.42,0.0,0.0,0.0
BeF2,beryllium fluoride,7787-49-7,900.0,2000.0,46.511363636363,0.046385037878789,-8.9264204545462e-06,1.6467803030305e-09
BeI2,beryllium iodide,7787-53-3,753.0,1500.0,112.968,0.0,0.0,0.0
BeO,beryllium oxide,1304-56-9,2900.0,5000.0,79.496,0.0,0.0,0.0
CBe2,beryllium carbide,506-66-1,2400.0,3500.0,92.048,0.0,0.0,0.0
Be3N2,beryllium nitride,1304-54-7,2473.15,4000.0,133.888,0.0,0.0,0.0
Bi,bismuth,7440-69-9,544.54,1200.0,38.0,-0.018898,8.4067e-06,0.0
BiF5,bismuth pentafluoride,7787-62-4,211.75,446.5,260.255,-0.59106,0.0003125,2.1047e-06
BrF3,bromine trifluoride,7787-71-5,298.15,303.15,84.6,0.0,0.0,0.0
Br2,bromine,7726-95-6,265.9,500.0,-92.494267232379,1.642504063261,-0.0051752187440835,5.2810953729819e-06
CBr2O,carbonyl bromide,593-95-3,298.15,303.15,81.46,0.0,0.0,0.0
CCl2O,carbonyl chloride,75-44-5,145.37,432.25,148.648,-0.42379,0.00078886,4.8919e-07
CF2O,carbonyl fluoride,353-50-4,165.85,282.15,483.524,-4.8061,0.019191,-2.2284e-05
CH4N2O,urea,57-13-6,405.85,564.0,965.507,-5.0993,0.010028,-6.3799e-06
