molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D,E
CBrClF2,bromochlorodifluoromethane,353-59-3,115.0,384.0,66.842,0.42713,-0.0017526,3.3738e-06,0.0
CBrCl3,bromotrichloromethane,75-62-7,253.0,545.0,51.035,0.71628,-0.0019205,2.095e-06,0.0
CBrF3,bromotrifluoromethane,75-63-8,177.59,299.82,-215.0283384046,4.0167891540944,-0.017725760187017,2.687517283009e-05,1.5472598421147e-09
CBr2F2,dibromodifluoromethane,75-61-6,163.05,386.97,75.730213910849,0.31784193721468,-0.0010498399133756,1.8409459895563e-06,0.0
CBr4,carbon tetrabromide,558-13-4,368.65,488.88,8719.7231812743,-82.622008223863,0.29666043545411,-0.00047069810767588,2.7902346690811e-07
CClF3,chlorotrifluoromethane,75-72-9,205.37,272.04,-502.82344204221,5.6025605810253,-0.01095857978818,-3.9791823367152e-05,1.3171859469413e-07
CClN,cyanogen chloride,506-77-4,266.65,367.5,17.369037293078,0.71433037341302,-0.0024556738927976,3.5231268201459e-06,0.0
CCl2F2,dichlorodifluoromethane,75-71-8,172.04,363.71,668.436940418,-10.228091467907,0.067435909189517,-0.0001942349759709,2.091254983445e-07
CCl2O,phosgene,75-44-5,149.26,298.14,-308.59965775156,7.6229981386921,-0.05079085066474,0.00014390887873268,-1.4658995958793e-07
CCl3F,trichlorofluoromethane,75-69-4,166.48,438.71,165.57745739517,-1.4210622240603,0.010773508828733,-3.2179935239158e-05,3.4681587248454e-08
CCl4,carbon tetrachloride,56-23-5,280.0,520.0,157.76891905503,-0.7941063828995,0.0050319919746879,-1.2654223852107e-05,1.2413244862616e-08
CF2O,carbonyl fluoride,353-50-4,163.0,267.0,-33.419,1.9984,-0.010073,1.9136e-05,0.0
CF4,carbon tetrafluoride,75-73-0,145.21,202.04,-727.08131357125,14.846581766394,-0.091297520087764,0.00018396314994389,2.9911310333015e-08
CHBr3,bromoform,75-25-2,282.0,626.0,24.236,0.71569,-0.0016914,1.6314e-06,0.0
CHClF2,chlorodifluoromethane,75-45-6,188.71,355.37,1990.0715727168,-32.443202771727,0.20603924313544,-0.00057697238469267,6.0303477797671e-07
CHCl2F,dichlorofluoromethane,75-43-4,273.15,440.0,2066.7658962159,-25.245416029915,0.12100477001908,-0.00025710150069254,2.0570848046169e-07
CHCl3,chloroform,67-66-3,223.15,505.0,145.07435298518,-0.56415021575535,0.0036599831236968,-1.0309206442892e-05,1.1131090111639e-08
CHF3,fluoroform,75-46-7,118.02,283.15,443.29604879402,-7.9557671143499,0.065411178156459,-0.00023874883211541,3.3061062333772e-07
CHI3,iodoform,75-47-8,396.16,642.86,63.813017943722,0.28404698302497,-0.00055675433759536,5.5933971564444e-07,0.0
CHN,hydrogen cyanide,74-90-8,266.53,314.63,-23871.859341681,322.21092080196,-1.6218204336933,0.0036175138873908,-3.0158915841002e-06
CH2BrCl,bromochloromethane,74-97-5,185.2,449.1,67.744622305484,0.18904969107152,-0.00051097278643454,8.5888543201521e-07,0.0
CH2Br2,dibromomethane,74-95-3,221.88,394.19,-356.23953093322,5.9945483752512,-0.028540674659964,5.8664156432973e-05,-4.347720587705e-08
CH2ClF,chlorofluoromethane,593-70-4,141.0,294.0,86.915,-0.036025,0.00026561,0.0,0.0
CH2Cl2,dichloromethane,1975-09-02 00:00:00,200.58,332.61,-275.17289955745,4.848856072818,-0.022882453794143,4.5183613997664e-05,-2.977925762384e-08
CH2F2,difluoromethane,1975-10-05 00:00:00,137.0,327.59,344.85435614589,-5.4287974073423,0.041667728480977,-0.00014143436838372,1.7983485448781e-07
CH2I2,diiodomethane,1975-11-06 00:00:00,280.0,672.0,47.997,0.5569,-0.00125,1.1654e-06,0.0
CH2O,formaldehyde,1950-10-23 00:00:00,189.65,269.45,-1975.6714591146,36.930583082381,-0.24908592112771,0.00074275142690787,-8.231796823468e-07
CH2O2,formic acid,64-18-6,287.35,395.14,-1705.7984513696,20.605292896356,-0.08763823497266,0.00016429303703063,-1.1406539895235e-07
CH3Br,methyl bromide,74-83-9,201.35,295.74,32.752258818238,-0.87180835879261,0.014791678957399,-6.502109725203e-05,9.0823243495425e-08
CH3Cl,methyl chloride,74-87-3,175.0,320.0,14.648313717468,0.90522344299627,-0.0050419337496949,1.1968710565076e-05,-9.203770708458e-09
CH3Cl3Si,methyl trichlorosilane,75-79-6,196.0,465.0,54.416,0.88694,-0.0028583,3.8406e-06,0.0
CH3F,methyl fluoride,593-53-3,131.35,256.26,50.358077996834,0.31173516236623,-0.0014912601545471,4.2751035401145e-06,0.0
CH3I,methyl iodide,74-88-4,208.0,475.0,24.062,0.46459,-0.0014583,1.8792e-06,0.0
CH3NO,formamide,1975-12-07 00:00:00,284.43,520.8,419.26087044254,-3.6328347987372,0.015112929696424,-2.6805686819481e-05,1.7539780314286e-08
CH3NO2,nitromethane,75-52-5,246.38,395.73,105.34557003482,-0.53182722078015,0.0044867313074569,-1.3005378259819e-05,1.3291493795259e-08
CH4,methane,74-82-8,92.0,178.0,-121.87549904049,4.5109702719761,-0.03848079643225,0.00010974321221414,6.7277683556757e-09
CH4Cl2Si,methyl dichlorosilane,75-54-7,184.0,435.0,66.188,0.68839,-0.0023767,3.3997e-06,0.0
CH4O,methyl alcohol,67-56-1,175.47,480.0,428.90160946215,-5.3315696879553,0.028462816871032,-6.4886569976356e-05,5.4859950322203e-08
CH4S,methyl mercaptan,74-93-1,161.67,298.19,-344.50119513435,7.5097770373762,-0.047661008638756,0.00013049369682657,-1.2962665328199e-07
CH5ClSi,methyl chlorosilane,993-00-0,140.0,398.0,68.963,0.60183,-0.0023367,4.0231e-06,0.0
CH5N,methylamine,74-89-5,188.92,283.14,-1198.8668824766,21.500616116027,-0.13213111985031,0.00035622141550663,-3.5376998254396e-07
CH6Si,methyl silane,992-94-9,116.34,284.38,63.958148857634,0.2054264972649,-0.00082133669271292,2.5699549294852e-06,0.0
CI4,carbon tetraiodide,507-25-5,444.15,776.35,91.001660284203,0.22493295681137,-0.00035905260561758,3.216344699429e-07,0.0
CN4O8,tetranitromethane,509-14-8,287.05,469.43,-37.291491610561,2.1323423360372,-0.006386877736974,7.6733739439049e-06,0.0
CO,carbon monoxide,630-08-0,81.66,125.0,-278.94805067464,14.141487126395,-0.21415683856893,0.001370382423916,-3.0084055089001e-06
COS,carbonyl sulfide,463-58-1,143.75,238.58,-797.19761749133,18.371506662346,-0.14329045724147,0.00048804334893789,-6.1176313455515e-07
CO2,carbon dioxide,124-38-9,216.58,290.0,-4287.9908681431,44.998284678335,-0.10795938102372,-0.00018213199391461,6.961564003987e-07
CS2,carbon disulfide,75-15-0,192.37,342.63,-20.887548758817,0.85019553202914,-0.0013104391143001,-5.6747880821414e-06,1.3997325643294e-08
C2BrF3,bromotrifluoroethylene,598-73-2,170.0,351.33,51.669525002128,0.62424702553806,-0.0023225646406546,4.027815203484e-06,0.0
C2Br2F4,"1,2-dibromotetrafluoroethane",124-73-2,164.0,439.0,72.862,0.78843,-0.0027534,4.1741e-06,0.0
C2ClF3,chlorotrifluoroethylene,79-38-9,116.0,341.0,58.305,0.64342,-0.0029048,5.978e-06,0.0
C2ClF5,chloropentafluoroethane,76-15-3,175.0,318.0,-17.172,1.8274,-0.0080452,1.3663e-05,0.0
C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane",76-14-2,233.15,388.71,-643.4612435299,8.2679381428634,-0.02903419161553,3.5082714451475e-05,-8.10930081828e-10
C2Cl2F4,"1,1-dichloro-1,2,2,2-tetrafluoroethane",374-07-2,216.58,347.44,25.255962318101,1.1507208651822,-0.0042539993758289,6.5625768702191e-06,0.0
C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane",76-13-1,277.59,449.82,-506.94799986235,6.1308792532823,-0.018840007218003,2.0584588799494e-05,-1.5907600386778e-09
C2Cl3F3,"1,1,1-trichloro-2,2,2-trifluoroethane",354-58-5,287.14,403.36,43.153128088631,0.96053616228751,-0.0030245394861219,4.1255324506307e-06,0.0
C2Cl4,tetrachloroethylene,127-18-4,261.98,416.96,3749.9237211228,-43.672422207646,0.19371160113518,-0.00037422781604548,2.6773506909866e-07
C2Cl4F2,"1,1,2,2-tetrachloro-1,2-difluoroethane",1976-12-23 00:00:00,310.53,384.5,1465.1365854403,-19.304789220687,0.10225168382396,-0.00023191364520722,1.9321308773043e-07
C2Cl4F2,"1,1,1,2-tetrachloro-2,2-difluoroethane",1976-11-09 00:00:00,313.75,462.58,60.655362795892,0.78539621765963,-0.0021649498811542,2.6674318102343e-06,0.0
C2Cl4O,trichloroacetyl chloride,1976-02-08 00:00:00,201.0,531.0,78.666,0.65083,-0.0018623,2.3259e-06,0.0
C2Cl5F,pentachlorofluoroethane,354-56-3,373.15,520.58,40.576268429661,0.91726584139109,-0.002235038050205,2.3350151332532e-06,0.0
