molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D
AlBr3,aluminum bromide,7727-15-3,478.15,578.15,-0.0817827468872928,0.000371684999093716,-2.62871276728066e-07,-1.99727861604928e-11
Ar,argon,7440-37-1,90.0,2000.0,-0.00030142352442357996,6.812784586294301e-05,-3.18215029837411e-08,6.85396796668772e-12
AsBr3,arsenic (III) bromide,7784-33-0,304.25,404.25,-0.0153127588024477,0.000107794073811951,-5.15456788825789e-08,-8.163771236224529e-11
AsCl3,arsenic trichloride,7784-34-1,257.15,357.15,-0.016447844359526,0.000137811560421825,-5.1790578412547696e-08,-1.58838196675e-10
AsF3,arsenic trifluoride,7784-35-2,267.25,367.25,-0.0108101607963023,7.327221033131591e-05,1.0327916521793901e-07,-2.60668185252474e-10
AsF5,arsenic pentafluoride,7784-36-3,193.35,293.35,-0.0121122435989217,0.000133861375880887,2.36235709116726e-07,-6.33598832943918e-10
As2O3,arsenic trioxide,1327-53-3,730.3,1000.0,-0.000837928303316943,1.16921086537005e-05,-1.3119056138059102e-10,-4.10492539599326e-14
BBr3,boron tribromide,10294-33-4,228.15,328.15,-0.0114293370191591,0.00010030454862078299,3.2100628044402795e-08,-2.4727207224050604e-10
BCl3,boron trichloride,10294-34-5,273.15,1000.0,-0.00418076010021149,6.743231708062769e-05,-7.03353295427097e-08,6.55838629791051e-11
BF3,boron trifluoride,'7637-07-2',173.35,1000.0,-0.000387887550211272,6.051959986709821e-05,6.73988709666539e-09,-2.0024111997351298e-12
BI3,boron triiodide,13517-10-7,316.15,416.15,-0.0153188639326252,0.00010072871057925401,-4.0351087001555496e-08,-8.08354768548408e-11
B2Cl4,"diborane, tetrachloro",13701-67-2,180.55,280.55,-0.0134072982036751,0.000131615622850621,3.7780017433724797e-07,-9.96047418010351e-10
B2D6,"diborane, deutero",20396-66-1,150.0,200.0,-0.0286558043032581,0.0007649491742153411,-3.3333632712085e-07,-2.1439275610966198e-09
B2F4,"diborane, tetrafluoro",13965-73-6,217.15,317.15,-0.0167145519127111,0.000104947226914607,5.89823878603833e-07,-1.1323839677767599e-09
BiF5,bismuth pentafluoride,7787-62-4,453.15,553.15,-0.042918729507994,0.000151117138303282,1.4916509973793303e-07,-2.74971561069657e-10
BrCl2FSi,"silane, bromodichlorofluoro",28054-58-2,160.85,260.85,-0.00895328019341822,0.000137262069537201,5.52391189062452e-09,-3.45326269101661e-10
BrCl3Si,"silane, bromotrichloro",13465-74-2,211.15,311.15,-0.0150302525559016,0.000154146083719994,3.5745573210123504e-08,-3.67498234193243e-10
