molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D
CBrClF2,bromochlorodifluoromethane,353-59-3,250,1500,-0.00582242279101021,5.17103211770479e-05,-1.1078734244969399e-08,1.1700047245705e-12
CBrCl3,bromotrichloromethane,75-62-7,250,1500,-0.00267540909962615,2.73602520282254e-05,2.8046276282031102e-09,-2.63747308266204e-12
CBrF3,bromotrifluoromethane,75-63-8,230,1500,-0.00290748803145252,3.9313238465378996e-05,1.7327614438861697e-08,-1.08977550308886e-11
CBr2F2,dibromodifluoromethane,75-61-6,250,1500,-0.00657719552042064,4.3195057114329104e-05,-3.85351012276729e-09,-1.50427388868571e-12
CBr4,carbon tetrabromide,558-13-4,250,1500,-0.0032970576804335,2.80351594154099e-05,-1.2150868847628402e-08,3.0526162916988902e-12
CClF3,chlorotrifluoromethane,75-72-9,192,1500,-0.00788829141732856,7.60040402332913e-05,-1.9449992395508e-08,1.76891923192814e-12
CClN,cyanogen chloride,506-77-4,250,1500,-0.00552047085496536,5.510481720330179e-05,1.26006271510309e-09,-3.926605940875971e-12
CCl2F2,dichlorodifluoromethane,75-71-8,200,1500,-0.0050481810021611,5.35514068880954e-05,-7.50528571428599e-09,-9.523809523808578e-13
CCl2O,phosgene,75-44-5,250,1500,-0.0015961571822900801,1.8090076982813602e-05,6.15806422656487e-08,-2.6893741121046698e-11
CCl3F,trichlorofluoromethane,75-69-4,250,1500,-0.00571749471010286,4.99455471810915e-05,-1.2614346276157e-08,1.2482916537475802e-12
CCl4,carbon tetrachloride,56-23-5,250,1500,-0.00867199383338202,5.7559774053845606e-05,-2.92876968355344e-08,7.20200781705768e-12
CF2O,carbonyl fluoride,353-50-4,250,1500,-0.00994671601942902,8.48762662791875e-05,-1.06645856849184e-08,-4.77445646980468e-14
CF4,carbon tetrafluoride,75-73-0,145,1500,-0.00698504833755244,8.16454281201664e-05,-2.48354887552284e-09,3.09076788535257e-14
CHBr3,bromoform,75-25-2,250,1500,-0.00134080831037808,2.12527533605529e-05,6.58003784709188e-10,-8.64337043485827e-13
CHClF2,chlorodifluoromethane,75-45-6,232,1500,-0.00508318657843284,5.14663356815952e-05,1.65370938418994e-08,-9.810873805721279e-12
CHCl2F,dichlorofluoromethane,75-43-4,250,1500,-0.0162003501928314,7.39633841949682e-05,2.3068309763148503e-08,-1.47106438716164e-11
CHCl3,chloroform,67-66-3,250,1500,-0.00608997364254065,4.61619941143936e-05,-7.208850738297701e-09,1.81024549461304e-15
CHF3,fluoroform,75-46-7,191,1500,-0.00656185462799521,7.20206312155653e-05,1.16973843940367e-08,-8.28218186705908e-12
CHI3,iodoform,75-47-8,250,1500,-0.000706935662469202,8.66018595744883e-06,7.461080853689308e-09,-2.93484735156035e-12
CHN,hydrogen cyanide,74-90-8,250,1500,-0.009144349527022179,6.996023230157529e-05,2.1118374261746397e-08,-9.69502568738359e-12
CH2BrCl,bromochloromethane,74-97-5,250,1500,-0.00253554041044495,2.1899070885613502e-05,2.6265826119835898e-08,-1.0345970265287198e-11
CH2Br2,dibromomethane,74-95-3,250,1500,-0.00962326141908788,5.5860382554512594e-05,-2.3022696782838398e-08,6.21339708077685e-12
CH2ClF,chlorofluoromethane,593-70-4,250,1500,-0.00502082952627345,4.0765128230959204e-05,4.20172000366413e-08,-1.73267390782526e-11
CH2Cl2,dichloromethane,'75-09-2',250,1500,-0.0006225775625616861,2.8529056616334004e-05,2.49713894572827e-08,-1.02611673745536e-11
CH2F2,difluoromethane,'75-10-5',250,1500,-0.00307262484408287,4.74462138228658e-05,5.4784181447506204e-08,-2.18707250350082e-11
CH2I2,diiodomethane,'75-11-6',250,1500,-0.00069930649291782,8.33750762645774e-06,1.4667013570844298e-08,-5.3144661516285396e-12
CH2O,formaldehyde,'50-00-0',250,1500,-0.00393814850920204,3.90836420690685e-05,1.1227786224019402e-07,-4.14485635642224e-11
CH2O2,formic acid,64-18-6,250,1500,-0.0010636784841680802,1.39283088118401e-05,1.0461502137831098e-07,-3.9598113115382e-11
CH3Br,methyl bromide,74-83-9,250,1500,-0.007047265395845391,4.21441581510507e-05,2.33334374396818e-08,-9.41529484143335e-12
CH3Cl,methyl chloride,74-87-3,213,1500,-0.006951985009396079,3.7738072419971296e-05,7.5058830452075e-08,-2.79189051558531e-11
CH3Cl3Si,methyl trichlorosilane,75-79-6,250,1500,-0.00332834550535913,3.32559868301926e-05,1.48111187968117e-08,-6.33712350943365e-12
CH3F,methyl fluoride,593-53-3,250,1500,-0.00177905146024807,4.1133997887291205e-05,1.00417677606563e-07,-3.60324421805356e-11
CH3I,methyl iodide,74-88-4,220,1500,-0.00774,4.3432e-05,4.642e-10,0.0
CH3NO,formamide,'75-12-7',250,1500,0.00112600629323724,-3.4762286887796097e-06,1.05850120860075e-07,-3.5242019386503704e-11
CH3NO2,nitromethane,75-52-5,250,1500,-0.00331433311944543,2.32910655304963e-05,1.02202923846729e-07,-3.7197998284039294e-11
CH4,methane,74-82-8,97,1500,0.0053767148538452205,5.15550830467679e-05,1.66548977272723e-07,-5.7167832167830504e-11
CH4Cl2Si,methyl dichlorosilane,75-54-7,250,1500,-0.00428618727611688,3.80266491926575e-05,2.5709928637440802e-08,-1.1057914550027599e-11
CH4O,methyl alcohol,67-56-1,250,1500,-0.0186825831202089,8.79587527821792e-05,8.23236143396963e-08,-2.8949182180281304e-11
CH4S,methyl mercaptan,74-93-1,250,1500,-0.00346938534796158,3.3761797720540006e-05,7.744944997630559e-08,-2.80202825406846e-11
CH5ClSi,methyl chlorosilane,993-00-0,250,1500,-0.00480564504327423,3.93948320467854e-05,5.28034024961149e-08,-2.22978774954829e-11
CH5N,methylamine,74-89-5,250,1500,-0.0043652727853062,3.65572353507063e-05,1.15242541571685e-07,-4.09407454608591e-11
CH6Si,methyl silane,992-94-9,250,1500,-0.00615828714431906,4.86484461652103e-05,9.758097367543929e-08,-4.19136182905778e-11
CI4,carbon tetraiodide,507-25-5,250,1500,-0.00016198620578481102,7.3388751243744005e-06,3.74196997391288e-09,-1.50511531906872e-12
CN4O8,tetranitromethane,509-14-8,250,1500,-0.004819910822062829,3.65547410819869e-05,1.08213122541513e-08,-4.507997073612559e-12
CO,carbon monoxide,630-08-0,70,1500,0.000991860688660334,9.401999786951659e-05,-4.076111295656681e-08,1.3750653953674799e-11
COS,carbonyl sulfide,463-58-1,250,1500,-0.00666989238163996,6.25927693922604e-05,-9.02827088227661e-09,1.1761290281577499e-12
CO2,carbon dioxide,124-38-9,195,1500,-0.012,0.00010208,-2.2403e-08,0.0
CS2,carbon disulfide,75-15-0,250,1500,-0.00384667693275115,3.75128062624239e-05,2.2983548886541797e-09,-1.4610813087817e-12
C2BrF3,bromotrifluoroethylene,598-73-2,250,1500,-0.00598525623119232,5.0641354354332e-05,-3.89205128405091e-09,-3.2712400476041594e-14
C2Br2F4,"1,2-dibromotetrafluoroethane",124-73-2,250,1500,-0.00481486008013664,4.32367888280839e-05,-5.538607731705811e-09,1.19101891690677e-12
C2ClF3,chlorotrifluoroethylene,79-38-9,250,1500,-0.00769757887855032,6.55325754226535e-05,-4.18905436870184e-10,-4.13564810232057e-12
C2ClF5,chloropentafluoroethane,76-15-3,234,1500,-0.00235940363132095,3.54243016369322e-05,5.1546066265115805e-08,-2.4592364270727e-11
C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane",76-14-2,250,1500,-0.00726327850654535,6.50329289274023e-05,-5.80097233848286e-09,-2.43328516118066e-12
C2Cl2F4,"1,1-dichloro-1,2,2,2-tetrafluoroethane",374-07-2,250,1500,-0.00790876972403176,6.25330867801705e-05,-3.41987572204453e-09,-3.13808850827877e-12
C2Cl3F3,"1,1,1-trichloro-2,2,2-trifluoroethane",354-58-5,250,1500,-0.00593033290090296,4.87293306302198e-05,2.05101612819512e-09,-4.16401964009752e-12
C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane",76-13-1,250,1500,-0.00615059874234715,5.02828545797673e-05,1.00015508331701e-09,-3.85044384898685e-12
C2Cl4,tetrachloroethylene,127-18-4,250,1500,-0.0053836516723571705,3.40485006652481e-05,1.04169658876438e-08,-5.81322998005e-12
C2Cl4F2,"1,1,1,2-tetrachloro-2,2-difluoroethane",'76-11-9',250,1500,-0.0046714315135372,3.9335505840325e-05,5.47666546068536e-09,-4.542829241071161e-12
C2Cl4F2,"1,1,2,2-tetrachloro-1,2-difluoroethane",'76-12-0',250,1500,-0.00475983017134824,4.0271968113085e-05,5.16012109171644e-09,-4.6341467158141905e-12
C2Cl4O,trichloroacetyl chloride,'76-02-8',250,1500,-0.0035868007308166795,3.4673482824687395e-05,8.830907411901661e-10,-6.01678056679948e-13
