molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D
AgCl,silver (I) chloride,7783-90-6,1770.15,1870.15,-3642.78594614507,4.26260083110273,-0.0010956997740798199,0.0
AgI,silver (I) iodide,7783-96-2,1729.15,1829.15,-4626.40691669858,5.54612956126896,-0.00145632685483522,0.0
Al,aluminum,7429-90-5,500.0,1500.0,117.476555462729,0.084113487108614,3.38918361245448e-06,0.0
AlBr3,aluminum bromide,7727-15-3,478.15,578.15,-1990.91756914218,9.28592760997181,-0.007108572004877759,0.0
AlF3,aluminum fluoride,7784-18-1,1499.15,1599.15,-2030.29392536723,2.82459572495862,-0.000843590993924863,0.0
Ar,argon,7440-37-1,83.78,3273.1,6.1897602029738,0.782950159204369,-0.000219210893851033,2.8331415319019998e-08
As,arsenic,7440-38-2,500.0,1500.0,-13.2643457987161,0.210899799714642,-8.669311881385451e-06,0.0
AsBr3,arsenic (III) bromide,7784-33-0,304.25,404.25,-500.018199427319,3.88718179113808,-0.00405548439346695,0.0
AsCl3,arsenic trichloride,7784-34-1,257.15,357.15,-340.09064540242,3.17723449947862,-0.0036760783286805703,0.0
AsF3,arsenic trifluoride,7784-35-2,267.25,367.25,-275.17442603612,2.42478547609841,-0.0027414194189919897,0.0
AsF5,arsenic pentafluoride,7784-36-3,193.35,293.35,-366.040113023401,4.62804206825477,-0.00628212578831922,0.0
AsI3,arsenic triiodide,7784-45-4,647.15,747.15,-1588.61531005424,5.34323749941447,-0.00324955148051722,0.0
As2O3,arsenic trioxide,1327-53-3,200.0,1500.0,1.70345932183309,0.138901351654731,4.49730984069618e-06,-9.71273248766339e-10
As2S3,arsenic (III) sulfide,1303-33-9,930.15,1030.15,-2561.17824903315,5.86154862275892,-0.00265192445494228,0.0
BBr3,boron tribromide,10294-33-4,228.15,328.15,-395.522742141057,4.21884196342341,-0.00523234771601564,0.0
BCl3,boron trichloride,10294-34-5,200.0,1500.0,-717.110686187857,6.49105444450464,-0.0138259741521293,7.52289404415143e-06
BF3,boron trifluoride,'7637-07-2',150.0,1500.0,15.5981668161882,0.567742951173752,-0.00016840981543818102,2.47693349371277e-08
BI3,boron triiodide,13517-10-7,316.15,416.15,-672.016130822302,4.97959612784122,-0.005069323147552911,0.0
B2Cl4,"diborane, tetrachloro",13701-67-2,180.55,280.55,-293.48215708029,4.11350725585892,-0.00578470996464481,0.0
B2D6,"diborane, deutero",20396-66-1,100.0,200.0,-72.2622230298856,1.96090267150041,-0.00356527758454621,0.0
B2F4,"diborane, tetrafluoro",13965-73-6,217.15,317.15,-323.355698149088,3.60644351283702,-0.00459829594904631,0.0
Ba,barium,7440-39-3,2120.15,2220.15,-1903.04793645693,1.84920426542276,-0.000402850416186908,0.0
BeBr2,beryllium bromide,7787-46-4,743.15,843.15,-1180.81960254147,3.42763106992424,-0.00186659645478638,0.0
BeCl2,beryllium chloride,7787-47-5,705.15,805.15,-720.744599577224,2.21201815876735,-0.00125661430367969,0.0
BeI2,beryllium iodide,7787-53-3,710.15,810.15,-1324.7827023253,4.03529270403915,-0.00227944004069319,0.0
Bi,bismuth,7440-69-9,1787.15,1887.15,-897.682747817301,1.04660915400177,-0.000266699578014365,0.0
BiBr3,bismuth tribromide,7787-58-8,676.15,776.15,-1629.57796967524,5.23107415023336,-0.00307294492758818,0.0
BiCl3,bismuth trichloride,7787-60-2,670.15,770.15,-1191.00911103483,3.85922342168742,-0.00228315886037237,0.0
