molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D
CBrClF2,bromochlorodifluoromethane,353-59-3,250,1500,-19.2692595402435,0.549546025975605,-0.00018367589445068,3.7319179573989804e-08
CBrCl3,bromotrichloromethane,75-62-7,250,1500,-8.29094827268094,0.398866709856837,-3.94337141114521e-05,-8.12823296572319e-09
CBrF3,bromotrifluoromethane,75-63-8,230,1500,-9.52529996379498,0.650199063756751,-0.000344585216446827,1.0986777757701199e-07
CBr2F2,dibromodifluoromethane,75-61-6,250,1500,-19.03091794133,0.56285167440724,-0.000155789278853747,2.59557548701733e-08
CBr4,carbon tetrabromide,558-13-4,250,1500,-0.249307437504996,0.344114899902788,2.9012910952082202e-05,-2.94739343057504e-08
CClF3,chlorotrifluoromethane,75-72-9,230,1500,13.8074589329991,0.47487225776581,-0.00013368238699654599,2.24850916613178e-08
CClN,cyanogen chloride,506-77-4,250,1500,-17.4987963075601,0.501879366979055,-0.00015570365894326102,2.95123467056458e-08
CCl2F2,dichlorodifluoromethane,75-71-8,250,1500,17.5823415522674,0.346933355655008,6.17829106560162e-05,-6.06463924493063e-08
CCl2O,phosgene,75-44-5,200,1500,-25.5184179264767,0.427414995679639,0.000175410034558718,-1.18350323974979e-07
CCl3F,trichlorofluoromethane,75-69-4,250,1500,-17.1225327288714,0.47487225776581,-0.00013368238699654599,2.24850916613178e-08
CCl4,carbon tetrachloride,56-23-5,280,1500,-16.6377683802536,0.454151935156587,-0.00023059555866411098,7.35157769531551e-08
CF2O,carbonyl fluoride,353-50-4,250,1500,-12.5894312063179,0.605332745062223,-0.00026056947613687796,6.310762526599459e-08
CF4,carbon tetrafluoride,75-73-0,145,1500,5.75407542579198,0.645917786592002,-0.00029379976032662097,7.54129252482437e-08
CHBr3,bromoform,75-25-2,273,1500,-16.3565007733869,0.336824139193276,-2.68955705729835e-05,-1.01224818179788e-08
CHClF2,chlorodifluoromethane,75-45-6,232,1500,-10.7673920971062,0.515097681410972,-0.000164660312856194,2.94538368453502e-08
CHCl2F,dichlorofluoromethane,75-43-4,280,1500,-3.31005404693246,0.422552285854347,-8.420415814854829e-05,5.3856052551674206e-09
CHCl3,chloroform,67-66-3,250,1500,-3.78006942655774,0.368483583198578,-4.12143330267043e-05,-7.355555770733741e-09
CHF3,fluoroform,75-46-7,191,1500,-14.3077789432123,0.603450119494045,-0.00026142898900252004,6.401720089975361e-08
CHI3,iodoform,75-47-8,250,1500,4.48977714743961,0.352563586473268,6.55177937370315e-05,-4.219420533168e-08
CHN,hydrogen cyanide,74-90-8,250,1500,-16.2432625909431,0.291736364606036,6.94971465301617e-05,-6.435660087685981e-08
CH2BrCl,bromochloromethane,74-97-5,250,1500,-12.6587624765705,0.466421712264512,-8.00004487543096e-05,3.0330789628970603e-09
CH2Br2,dibromomethane,74-95-3,250,1500,-8.71219631978998,0.434283593134382,-3.9629496819259794e-05,-1.00610936743621e-08
CH2ClF,chlorofluoromethane,593-70-4,250,1500,-17.3373966291995,0.494542295249403,-0.000165904510241625,3.38163702183168e-08
CH2Cl2,dichloromethane,'75-09-2',250,1500,-12.7747439271088,0.404748335535166,-8.457926934556959e-05,7.60567773751259e-09
CH2F2,difluoromethane,'75-10-5',222,1500,-10.8710195403498,0.574557476505828,-0.000224233777572296,5.20806206068171e-08
CH2I2,diiodomethane,'75-11-6',288,1500,-28.1672713917513,0.509533986040768,-6.79969540385277e-05,-1.04565204391545e-10
CH2O,formaldehyde,'50-00-0',250,1500,-18.7341482921458,0.538623063984229,-0.000189430105098678,4.01440084002949e-08
CH2O2,formic acid,64-18-6,250,1500,-8.97610791013737,0.368827620992143,-5.08679484039648e-05,-2.2075493980522698e-09
CH3Br,methyl bromide,74-83-9,260,1500,-25.580458322272,0.539623209316297,-1.4302795164472598e-05,-5.3942099843360996e-08
CH3Cl,methyl chloride,74-87-3,230,1500,0.738058980476069,0.3695318088965,-9.304180488024699e-06,-2.8204888539050197e-08
CH3Cl3Si,methyl trichlorosilane,75-79-6,250,1500,-11.1133100667027,0.356815887101647,-8.10309415477013e-05,9.75469057173546e-09
CH3F,methyl fluoride,593-53-3,195,1500,-6.92819445789746,0.519677139649476,-0.000214703760890732,5.17343156991542e-08
CH3I,methyl iodide,74-88-4,250,1500,-15.8316941629646,0.524866698487808,-0.000111391226628251,1.14131710058896e-08
CH3NO,formamide,'75-12-7',250,1500,1.92292396622943,0.237001159590588,3.6146161671882705e-05,-2.57683491774933e-08
CH3NO2,nitromethane,75-52-5,250,1500,-8.94476842209427,0.384469084904998,-4.8359612822211795e-05,-4.02628467640426e-09
CH4,methane,74-82-8,91,1500,1.26028646665153,0.438036394850572,-0.000243219277311511,7.098071364612889e-08
CH4Cl2Si,methyl dichlorosilane,75-54-7,250,1500,-12.4293566399997,0.37051806155217,-0.000100299451006103,1.62323409045083e-08
CH4O,methyl alcohol,67-56-1,240,1500,-13.6114905125129,0.385116094281068,-5.495563140641e-05,-4.19697236214542e-09
CH4S,methyl mercaptan,74-93-1,273,1500,-36.5185845337945,0.44274691955838,4.01539091618765e-06,-5.9410537011785e-08
CH5ClSi,methyl chlorosilane,993-00-0,250,1500,-13.2383275209961,0.378352226881601,-0.00012024846853574199,2.33370895706725e-08
CH5N,methylamine,74-89-5,250,1500,-11.1776276631344,0.318700243612738,-0.000105264402524388,2.1166254536326102e-08
CH6Si,methyl silane,992-94-9,250,1500,-11.4440039663101,0.367223893374578,-0.000145367081935166,3.34937450698018e-08
CI4,carbon tetraiodide,507-25-5,250,1500,12.6315141749127,0.281157977839336,0.000105781304699656,-4.9420621532820806e-08
CN4O8,tetranitromethane,509-14-8,250,1500,-8.42482644032703,0.29065312923872,-5.686167088717479e-05,4.510416438710129e-09
CO,carbon monoxide,630-08-0,68,1500,18.0493038262975,0.637530082149211,-0.000357478100248322,1.0286702086409801e-07
COS,carbonyl sulfide,463-58-1,250,1500,-18.0012632789666,0.529685299792882,-0.00019661249533773001,4.31339904738827e-08
CO2,carbon dioxide,124-38-9,195,1500,11.8109,0.49838,-0.00010851,0.0
CS2,carbon disulfide,75-15-0,273,1500,-5.0475779239475,0.345476539856698,2.45815887518618e-05,-3.89389320497365e-08
C2BrF3,bromotrifluoroethylene,598-73-2,250,1500,-19.28722298539,0.549961220129614,-0.000180551626046327,3.61091182622165e-08
C2Br2F4,"1,2-dibromotetrafluoroethane",124-73-2,250,1500,-16.3704554914285,0.492065379447022,-0.000130287091284242,2.045368765476e-08
C2ClF3,chlorotrifluoroethylene,79-38-9,250,1500,-17.7951967576738,0.531972763251619,-0.000200238082033353,4.46220418608053e-08
C2ClF5,chloropentafluoroethane,76-15-3,250,1500,2.96984037032057,0.449902650123888,-0.00011890503111230601,1.63511387664945e-08
C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane",76-14-2,230,1500,-17.2783757060823,0.492150911542014,-0.000168106118243051,3.4792354227323697e-08
C2Cl2F4,"1,1-dichloro-1,2,2,2-tetrafluoroethane",374-07-2,250,1500,-17.2238548455203,0.492150911542014,-0.000168106118243051,3.4792354227323697e-08
C2Cl3F3,"1,1,1-trichloro-2,2,2-trifluoroethane",354-58-5,250,1500,-14.1591891887475,0.425522254163095,-0.00011272093925088602,1.7707697296213303e-08
C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane",76-13-1,237,1500,26.4206890558424,0.295765514161938,-0.00013738192334376598,4.4852020125984805e-08
C2Cl4,tetrachloroethylene,127-18-4,251,1500,-6.04123925348098,0.276581070122115,0.000123486402107759,-8.17323606234347e-08
C2Cl4F2,"1,1,1,2-tetrachloro-2,2-difluoroethane",'76-11-9',250,1500,-9.85502087212215,0.36861087337389,-6.136414120436971e-05,1.70370965816533e-09
C2Cl4F2,"1,1,2,2-tetrachloro-1,2-difluoroethane",'76-12-0',250,1500,-10.4959136370723,0.377353403246033,-6.79639648384172e-05,3.66353544647466e-09
C2Cl4O,trichloroacetyl chloride,'76-02-8',250,1500,-7.79706343384396,0.338758339451995,-4.16719047926088e-05,-3.8938338012608e-09
C2Cl5F,pentachlorofluoroethane,354-56-3,250,1500,-5.45583492227325,0.317646530439221,-1.9679274279782398e-05,-1.07515825123723e-08
C2Cl6,hexachloroethane,67-72-1,250,1500,-1.62281033536867,0.285421127327122,1.2327109634431801e-05,-2.03714671063259e-08
C2F4,tetrafluoroethylene,116-14-3,250,1500,-15.211734683654,0.62036366013831,-0.000261876325989973,6.2711090653984e-08
C2F6,hexafluoroethane,76-16-4,250,1500,-13.4316628902835,0.614764819005625,-0.000263334787763917,6.35954266963338e-08
C2HBrClF3,halothane,151-67-7,250,1500,-14.3384967178492,0.465542873246213,-0.00010322394708049301,1.1786471344259199e-08
C2HClF2,"2-chloro-1,1-difluoroethylene",359-10-4,250,1500,-17.4708557481474,0.505737882024023,-0.00018127518743543,3.89849882961285e-08
C2HClF4,"1-chloro-1,1,2,2-tetrafluoroethane",354-25-6,250,1500,-17.1726376889535,0.497397794561831,-0.000178528495777599,3.8433986717888e-08
C2HClF4,"2-chloro-1,1,1,2-tetrafluoroethane",2837-89-0,250,1500,-16.1753189731456,0.470778461526407,-0.000170686661975895,3.70253485101568e-08
C2HCl2F3,"1,1-dichloro-1,2,2-trifluoroethane",812-04-4,250,1500,-14.3985489974715,0.428049230131342,-0.00011675075115509199,1.90851185467829e-08
C2HCl2F3,"1,2-dichloro-1,1,2-trifluoroethane",354-23-4,250,1500,-14.6228643638448,0.422359988862871,-0.000126651109383927,2.3173241862347702e-08
C2HCl2F3,"2,2-dichloro-1,1,1-trifluoroethane",306-83-2,250,1500,-16.4111348829062,0.457450912528477,-0.000128778839526609,2.1231160408844097e-08
C2HCl3,trichloroethylene,'79-01-6',275,1500,-23.2204765877198,0.419143875280574,-6.453121308782161e-05,-2.32768743724781e-09
C2HCl3F2,"1,2,2-trichloro-1,1-difluoroethane",354-21-2,250,1500,-11.604690230818,0.38593174417109,-8.137733271326451e-05,8.193636447135458e-09
C2HCl3F2,"1,1,1-trichloro-2,2-difluoroethane",354-12-1,250,1500,-11.5073777652219,0.384762300516577,-8.02333858838104e-05,7.83174298577439e-09
C2HCl3F2,"1,1,2-trichloro-1,2-difluoroethane",354-15-4,250,1500,-11.5492323564475,0.385301487521644,-8.071620204766421e-05,7.981824339707191e-09
C2HCl3O,dichloroacetyl chloride,79-36-7,250,1500,-8.34077909708157,0.340918216546367,-4.7523782749188504e-05,-1.85346523731573e-09
C2HCl3O,trichloroacetaldehyde,75-87-6,250,1500,-9.33528975731636,0.356261244608387,-5.69837676902169e-05,7.811346453669331e-10
C2HCl4F,"1,1,1,2-tetrachloro-2-fluoroethane",354-11-0,250,1500,-7.2958460383352,0.334131392157502,-3.67797267447896e-05,-5.4332134016885295e-09
C2HCl4F,"1,1,2,2-tetrachloro-1-fluoroethane",354-14-3,250,1500,-7.33213330602803,0.334510161758535,-3.71244756945061e-05,-5.3278956973701294e-09
C2HCl5,pentachloroethane,'76-01-7',250,1500,-3.43366758979936,0.299020569697053,-2.3595822470543e-06,-1.59410753226592e-08
C2HF3,trifluoroethene,359-11-5,250,1500,-15.7981796114365,0.51661127259547,-0.00020629583175780302,4.77931319241525e-08
C2HF3O2,trifluoroacetic acid,'76-05-1',250,1500,-14.6285801549223,0.442529550407358,-0.00011526503227135401,1.76733994284923e-08
C2HF5,pentafluoroethane,354-33-6,250,1500,-17.0514771824586,0.569143681906466,-0.00022915716336196202,5.33608166832656e-08
C2H2,acetylene,74-86-2,193,1500,-13.0845878690819,0.439006748319188,-0.000189223560696848,4.56792310695999e-08
C2H2Br4,"1,1,2,2-tetrabromoethane",79-27-6,250,1500,5.37319250246391,0.289555959389548,6.53382701001136e-05,-3.8347847922346095e-08
C2H2Br4,"1,1,1,2-tetrabromoethane",630-16-0,250,1500,3.81702504519835,0.275893409220144,5.33967697766322e-05,-3.37080925991765e-08
C2H2ClF3,"1-chloro-1,2,2-trifluoroethane",431-07-2,250,1500,-16.0725061491197,0.458277433240738,-0.000152004309515075,3.0678501403235205e-08
C2H2ClF3,"2-chloro-1,1,1-trifluoroethane",75-88-7,250,1500,-16.0703578091802,0.458240094173719,-0.00015035967834233201,3.00565668895248e-08
C2H2ClF3,"1-chloro-1,1,2-trifluoroethane",421-04-5,250,1500,-16.1732006992432,0.461143642921862,-0.000152826414608514,3.08215821924576e-08
C2H2Cl2,"cis-1,2-dichloroethylene",156-59-2,250,1500,-11.3827756539466,0.376209444230688,-8.03557738700865e-05,8.37370330550933e-09
C2H2Cl2,"trans-1,2-dichloroethylene",156-60-5,250,1500,-12.1898964341824,0.382398424510586,-9.139162718488209e-05,1.2169711766900302e-08
C2H2Cl2,dichloroethylene,25323-30-2,250,1500,-12.2990086991504,0.383669984858335,-9.286385663018779e-05,1.26510721047632e-08
C2H2Cl2,"1,2-dichloroethylene, cis and trans",540-59-0,250,1500,-12.2990086991504,0.383669984858335,-9.286385663018779e-05,1.26510721047632e-08
C2H2Cl2,"1,1-dichloroethylene",75-35-4,250,1500,-13.4806969523243,0.401200349997855,-0.000109096286474841,1.77625119276443e-08
C2H2Cl2F2,"1,1-dichloro-2,2-difluoroethane",471-43-2,250,1500,-12.7898444526396,0.409510512597169,-9.35549407576823e-05,1.1405209601088501e-08
C2H2Cl2F2,"1,2-dichloro-1,1-difluoroethane",1649-08-7,250,1500,-13.1979345415228,0.402326466154941,-0.000102814851724889,1.53195551061701e-08
C2H2Cl2F2,"1,2-dichloro-1,2-difluoroethane",431-06-1,250,1500,-13.6275047822739,0.409444628303244,-0.000108530471801203,1.70645667258325e-08
C2H2Cl2F2,"1,1-dichloro-1,2-difluoroethane",1842-05-3,250,1500,-13.6834779143009,0.411735644091125,-0.000108718125494763,1.7001247117161598e-08
C2H2Cl2O,chloroacetyl chloride,'79-04-9',250,1500,-8.20435147199572,0.338917791018515,-4.62401913798894e-05,-2.21461965161333e-09
C2H2Cl2O,dichloroacetaldehyde,'79-02-7',250,1500,-9.85445679115099,0.360076452827937,-6.27940502104206e-05,2.72725905981226e-09
C2H2Cl2O2,dichloroacetic acid,79-43-6,250,1500,-2.04048069445991,0.260452191818652,6.4243660225978e-06,-1.68937332314069e-08
C2H2Cl3F,"1,1,2-trichloro-2-fluoroethane",359-28-4,250,1500,-9.90507604571744,0.358877088963183,-6.364757764108721e-05,3.1148767212085305e-09
C2H2Cl3F,"1,1,1-trichloro-2-fluoroethane",2366-36-1,250,1500,-9.46233104825446,0.361109502091854,-5.77592435027605e-05,7.91764883562666e-10
C2H2Cl3F,"1,1,2-trichloro-1-fluoroethane",811-95-0,250,1500,-9.56369737885373,0.356595386443826,-5.97347547742788e-05,1.78637625889013e-09
C2H2Cl4,"1,1,1,2-tetrachloroethane",630-20-6,250,1500,-5.80007824582114,0.320155430359413,-2.28411827693273e-05,-9.74360796908053e-09
C2H2Cl4,"1,1,2,2-tetrachloroethane",79-34-5,250,1500,-4.53852647839105,0.306504522766813,-1.1929364116895e-05,-1.2928449834853301e-08
C2H2F2,"1,1-difluoroethylene",75-38-7,250,1500,-13.5045194120038,0.566500969486596,-0.00024011601013722202,5.7635661248465e-08
C2H2F2,"cis-1,2-difluoroethene",1630-77-9,250,1500,-18.4702674124593,0.538379269883221,-0.000195745350115826,4.25497622949706e-08
C2H2F2,"trans-1,2-difluoroethene",1630-78-0,250,1500,-16.020346491591,0.466967924979842,-0.000169781425625595,3.6905905035269796e-08
C2H2F4,"1,1,1,2-tetrafluoroethane",811-97-2,250,1500,-16.5013759995574,0.476438727557821,-0.00017084772585585802,3.6100254876712996e-08
C2H2F4,"1,1,2,2-tetrafluoroethane",359-35-3,250,1500,-15.2972324088077,0.455668860405705,-0.00017084758111756898,3.79689539217274e-08
C2H2I4,"1,1,1,2-tetraiodoethane",,250,1500,12.0186463164681,0.256218758428124,9.87671197946131e-05,-4.56143072171989e-08
C2H2I4,"1,1,2,2-tetraiodoethane",,250,1500,11.1758419595273,0.24624187041493,9.317880579186679e-05,-4.34150476502661e-08
C2H2O,ketene,463-51-4,250,1500,-14.651931462759,0.446896044827973,-0.000171362120361901,3.86732685966309e-08
C2H2O4,oxalic acid,144-62-7,250,1500,2.84357053744639,0.194767675847319,3.87290228333012e-05,-2.4129875222246098e-08
C2H3Br,vinyl bromide,593-60-2,250,1500,-15.7200056387525,0.461626616196922,-0.000130539077304,2.2336553763607498e-08
C2H3Br3,"1,1,1-tribromoethane",2311-14-0,250,1500,-1.89712509755935,0.337093099598946,1.4724568325807902e-05,-2.41175224068698e-08
